lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
314,0,75.0,10,12,3,3,0,0,0,0
41,2,142.2,9,1,4,1,0,0,3,1
138,0,90.95,4,23,4,2,2,0,0,1
59,1,90.51,7,24,4,4,2,0,0,1
12,0,130.0,10,20,2,2,0,0,0,1
10,0,119.5,5,18,4,2,0,0,1,0
109,1,127.8,8,9,4,5,0,0,3,1
121,0,90.0,6,24,3,2,1,0,0,0
9,0,104.8,5,31,4,3,0,0,0,1
86,1,187.85,5,15,4,2,2,0,5,1
79,1,95.2,4,4,4,3,1,0,3,1
270,0,62.8,4,20,3,4,0,0,0,0
51,0,107.1,7,6,4,1,0,3,0,0
5,0,100.0,9,20,2,0,2,0,0,1
99,0,80.0,2,19,2,1,0,0,0,1
6,2,160.0,10,20,4,3,0,0,0,1
68,1,71.33,12,31,3,3,0,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
1,0,112.2,9,30,3,1,0,1,0,1
37,1,108.9,6,20,4,2,1,0,0,1
112,1,72.25,7,7,3,3,2,0,0,1
256,1,115.0,6,15,4,2,0,1,0,0
9,2,153.0,8,14,4,0,2,3,0,1
111,0,60.0,2,23,3,7,2,0,0,0
27,0,48.33,12,22,3,5,1,0,0,1
80,0,100.0,4,10,3,1,2,1,0,0
109,0,58.0,3,20,3,1,2,0,0,1
13,0,73.0,4,26,3,3,0,1,0,1
21,1,200.0,11,7,4,2,1,0,0,1
244,1,85.5,9,3,4,1,0,3,0,0
257,0,101.5,7,1,3,2,0,1,0,0
72,1,96.3,6,26,4,0,1,0,0,1
76,0,94.0,7,24,4,1,2,3,0,1
178,0,88.77,8,25,4,3,0,0,1,0
229,0,67.5,12,9,4,2,1,3,0,0
107,0,152.1,8,24,4,4,0,0,3,0
19,0,126.0,10,12,4,2,1,0,0,1
81,1,146.6,11,6,4,2,2,0,3,1
88,1,90.0,10,7,2,2,0,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
204,0,100.0,5,5,3,3,0,0,0,0
232,2,110.7,12,5,4,2,1,0,3,1
72,2,109.8,12,3,4,1,2,0,0,1
4,0,109.0,8,1,4,1,1,3,0,0
86,1,82.45,3,31,4,3,1,0,0,1
12,1,71.87,11,12,4,6,3,3,0,0
93,2,81.5,10,29,4,1,1,0,1,1
230,1,72.75,8,29,4,3,1,0,3,1
13,2,127.0,6,23,4,1,0,0,3,1
4,2,107.0,3,22,4,2,0,0,0,1
11,0,67.0,8,18,2,2,0,0,0,0
14,0,100.0,10,15,3,2,0,0,0,1
3,0,67.0,2,1,2,2,1,0,0,1
37,0,105.3,4,11,4,1,1,0,0,0
305,0,89.0,11,4,3,2,1,0,0,0
161,1,96.9,7,15,3,2,1,0,0,1
27,1,74.33,12,4,4,2,1,0,1,1
184,2,128.7,10,17,4,3,1,0,3,0
102,1,108.0,10,9,4,0,1,3,0,0
115,0,87.0,2,27,3,2,2,0,0,1
29,2,98.98,10,13,4,4,0,0,0,1
33,0,62.2,3,8,3,2,0,0,0,1
238,0,140.4,10,6,4,3,0,0,3,0
5,0,185.33,12,3,4,1,2,0,5,1
23,1,111.33,9,30,4,3,0,0,0,1
75,2,93.6,11,18,4,2,1,0,0,1
141,1,106.5,8,30,4,3,0,0,0,1
56,0,82.45,3,6,4,5,2,0,3,0
0,1,149.0,10,24,4,1,1,0,0,1
13,0,260.5,4,25,4,3,1,1,5,0
34,0,89.7,2,24,4,3,0,0,0,0
38,1,80.3,1,23,4,1,0,0,0,1
127,1,79.2,11,12,4,1,2,3,0,0
202,2,128.85,9,6,4,4,0,0,0,0
90,1,72.25,11,20,4,2,0,0,0,0
99,0,81.0,2,19,2,1,0,0,0,1
168,0,144.9,5,21,4,1,0,0,3,0
0,0,75.0,8,10,4,0,1,3,0,0
17,0,65.0,9,20,2,1,2,0,0,1
31,0,132.6,6,16,4,1,0,0,3,0
0,1,0.0,10,2,1,1,0,0,4,1
8,1,126.67,10,29,4,1,2,3,0,1
3,0,87.7,11,8,4,3,2,0,1,1
193,1,90.95,7,25,4,3,1,0,0,1
14,1,114.0,9,15,4,3,0,0,0,1
85,0,125.0,9,30,3,3,0,1,0,1
180,0,88.77,8,27,4,1,1,0,1,0
67,3,79.2,11,11,4,2,2,3,0,1
37,0,95.0,9,20,4,2,2,0,0,1
75,0,80.0,3,17,3,3,1,0,0,0
115,1,99.45,5,4,4,4,1,0,0,1
82,0,149.4,5,17,4,2,0,0,3,1
0,0,139.0,10,16,4,0,2,3,0,1
86,0,122.0,12,8,4,3,0,0,0,0
346,1,115.0,9,13,3,2,0,1,0,0
53,3,159.3,5,6,4,2,0,0,3,1
279,0,110.0,10,12,4,3,0,0,0,0
65,0,122.65,12,21,3,4,0,1,0,1
56,3,103.5,10,21,4,3,0,0,0,1
44,1,119.38,4,26,4,4,0,0,3,1
14,0,151.0,7,1,4,1,0,0,0,0
162,0,115.0,10,14,3,2,2,0,0,0
61,0,117.0,3,23,4,2,0,0,0,0
14,0,70.88,12,5,4,3,1,0,3,1
4,0,81.0,2,19,2,1,0,0,0,1
6,0,108.0,2,5,4,2,0,0,3,1
118,2,110.0,6,6,3,5,1,0,0,1
172,1,96.3,6,27,4,2,1,0,0,1
0,0,73.9,1,6,4,1,0,0,0,1
99,1,90.95,4,25,4,3,1,0,0,1
69,2,119.8,12,31,4,2,0,0,0,1
14,2,186.0,5,12,4,3,0,0,3,1
54,1,116.1,6,17,4,3,2,0,0,1
57,1,123.3,9,1,4,3,0,0,3,0
2,0,0.0,5,1,4,0,0,3,0,1
180,0,70.0,10,16,3,1,0,0,0,0
81,0,96.0,7,16,3,1,2,0,0,1
53,1,119.1,4,25,4,2,1,0,3,0
27,0,80.75,6,20,3,3,1,0,0,1
205,0,90.95,7,22,4,3,2,0,0,0
191,0,132.0,6,3,3,2,1,0,0,0
150,0,68.0,7,4,3,4,1,0,0,1
258,0,110.0,10,16,3,0,1,0,0,0
0,1,111.0,6,14,4,1,0,0,0,1
35,0,99.0,8,31,4,3,0,3,0,1
6,2,144.57,6,10,4,5,2,0,3,1
17,1,95.0,10,9,3,3,2,0,0,1
3,0,79.75,2,7,3,3,2,1,0,1
63,2,103.95,9,4,4,2,2,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
144,1,112.2,7,23,4,5,2,0,3,0
29,0,85.0,12,2,2,2,0,0,0,1
7,2,91.0,11,16,4,0,1,0,0,1
3,2,0.0,8,9,4,1,2,0,1,1
13,1,111.6,9,20,4,3,2,0,0,1
110,0,95.0,6,26,4,1,2,0,0,0
22,0,62.0,11,17,2,1,0,0,0,1
151,0,80.0,1,19,3,3,0,0,0,1
46,0,60.0,1,22,3,2,1,0,0,1
143,0,77.03,4,22,4,2,0,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
150,1,114.66,8,30,4,5,0,0,0,1
126,1,77.03,7,25,4,2,1,0,0,1
6,1,169.0,9,28,4,3,1,0,0,1
2,0,66.88,5,15,3,2,2,0,0,1
173,0,85.5,7,8,4,2,0,3,0,0
308,0,52.0,11,25,3,2,0,0,0,0
95,1,58.0,3,11,3,2,1,0,0,1
103,0,115.0,4,19,3,2,0,0,0,0
39,1,125.1,9,8,4,1,0,3,0,1
0,0,114.0,10,18,4,0,1,3,0,1
8,1,75.81,10,31,4,5,2,0,0,1
9,1,97.02,6,1,4,1,0,0,0,1
122,0,85.0,4,15,3,2,0,0,0,1
16,0,95.0,6,16,2,1,0,0,0,1
165,2,177.3,7,16,4,1,2,0,5,0
135,0,90.0,9,14,3,2,1,0,0,1
166,0,128.7,8,29,4,0,1,0,3,0
169,0,106.0,4,22,3,2,2,1,0,0
63,2,114.3,7,18,4,1,1,0,0,1
181,1,98.1,10,11,4,1,0,3,0,0
35,1,85.0,10,28,3,2,1,0,0,1
2,0,66.0,1,14,2,1,0,0,0,1
93,1,121.5,6,20,4,1,1,0,0,0
55,1,113.4,11,11,4,2,0,0,0,0
74,0,101.5,9,18,3,2,0,1,0,1
213,0,130.0,6,7,3,3,0,0,0,0
24,0,119.25,9,17,4,3,1,0,0,1
176,3,169.88,10,24,4,3,1,0,5,1
47,1,128.0,10,27,4,1,0,0,0,1
113,0,75.0,6,4,3,1,1,0,0,1
13,0,95.0,4,19,0,4,0,0,0,1
0,0,92.5,6,8,2,1,0,0,0,1
285,0,81.81,10,16,4,3,2,0,1,0
77,1,74.61,12,24,4,3,2,0,3,1
26,0,127.2,9,5,4,3,1,0,0,0
81,1,65.0,3,25,3,2,1,0,0,1
73,1,74.15,4,26,4,2,0,0,0,1
102,0,101.5,10,16,4,2,0,1,0,0
71,0,90.0,9,9,2,2,0,0,0,1
99,2,140.4,8,8,4,2,1,0,3,0
105,0,75.0,4,6,3,1,0,0,0,0
64,0,149.4,9,16,4,1,0,0,3,0
118,0,110.0,6,6,3,1,1,0,0,1
125,2,80.75,10,20,4,5,1,0,0,1
169,2,101.25,7,30,4,3,2,0,0,0
113,1,108.0,10,13,4,1,0,3,0,1
349,0,80.0,10,4,3,5,1,0,0,0
12,1,121.0,6,8,4,2,0,0,0,0
96,1,116.1,5,23,4,0,1,3,0,1
184,1,118.0,4,30,4,1,0,0,0,0
260,1,56.94,11,16,4,4,1,0,0,1
43,0,0.0,10,23,4,1,0,0,0,1
78,0,100.0,3,25,3,2,1,0,0,0
17,1,112.57,11,6,4,3,2,0,0,1
72,2,127.65,10,20,4,4,2,0,3,1
67,0,80.75,6,12,3,1,2,0,0,1
12,1,67.0,10,12,2,1,0,0,0,1
12,0,58.0,1,5,3,1,0,0,0,1
153,2,80.75,6,30,4,3,1,3,0,1
15,0,80.0,1,26,2,1,0,0,0,1
35,2,96.3,10,20,4,4,0,0,0,1
91,0,85.5,6,26,4,0,1,3,0,0
60,0,71.6,4,11,4,3,1,0,0,1
34,0,177.33,9,23,3,3,0,1,0,1
32,1,107.1,11,14,4,4,1,0,3,0
159,1,70.0,4,9,3,1,1,0,0,1
4,1,80.79,11,27,4,4,2,0,0,1
34,0,81.0,6,19,4,1,2,0,0,0
10,1,166.0,7,3,4,1,2,0,3,1
98,3,90.97,6,5,4,3,2,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
154,0,113.4,10,7,4,2,1,0,0,0
13,0,63.58,3,13,3,3,2,0,0,1
206,1,130.5,9,8,4,3,0,0,1,0
121,1,119.85,5,31,4,5,2,0,0,1
73,0,76.5,4,3,4,1,2,3,0,0
160,0,132.3,10,3,4,3,1,0,3,0
141,1,118.8,9,19,4,5,2,3,0,0
19,0,80.0,10,6,3,3,0,0,0,1
204,0,141.3,10,7,4,2,0,0,3,0
169,0,137.7,8,22,4,1,1,0,0,0
159,0,144.0,9,19,3,2,1,0,0,0
27,0,141.0,5,10,4,3,0,0,0,0
16,0,76.0,3,8,2,3,0,0,3,1
252,0,106.3,10,15,4,1,2,0,0,0
109,0,100.5,8,5,4,2,1,3,0,0
140,0,70.0,12,29,3,5,0,0,0,1
256,0,90.0,6,15,3,2,0,1,0,1
1,0,90.0,9,9,2,2,0,0,0,1
34,1,194.85,8,8,4,2,1,1,0,0
136,0,76.16,11,28,4,4,1,0,1,0
2,0,109.0,8,3,3,4,0,0,0,1
92,0,90.0,11,11,3,1,0,0,0,1
233,0,90.0,10,14,3,2,1,0,0,0
8,0,81.7,1,10,4,6,4,0,0,1
54,1,92.0,3,14,3,4,1,1,0,1
149,0,85.5,8,26,4,2,2,3,0,0
4,2,211.0,4,9,4,1,0,0,5,1
32,0,129.15,6,27,4,3,1,0,3,1
11,0,62.0,3,16,3,3,0,0,1,1
119,0,83.0,3,29,3,2,0,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
48,0,130.0,9,14,3,2,0,0,0,1
177,0,80.75,10,14,3,2,1,0,0,1
28,0,95.0,5,19,2,2,0,0,0,0
60,1,65.0,10,12,3,3,1,0,0,1
214,1,90.95,8,7,4,3,2,0,0,1
28,1,91.63,10,18,4,3,0,3,0,1
93,0,54.24,3,7,4,3,1,0,0,1
30,0,121.0,9,30,3,2,0,1,0,1
139,1,124.5,5,21,4,1,2,0,3,0
11,2,0.0,12,11,1,2,0,0,3,1
71,0,168.3,9,11,4,0,1,0,3,1
35,0,129.87,6,27,4,2,1,0,3,0
190,1,70.0,4,9,3,1,1,0,0,1
