lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
224,65.0,0,10,2,3,2,1,2017,2,1
5,106.68,1,11,6,4,3,2,2018,2,1
1,60.0,0,2,28,4,1,2,2018,1,0
211,100.0,0,5,20,4,2,0,2018,2,0
48,94.5,0,4,11,4,1,1,2018,2,0
346,115.0,1,9,13,4,2,0,2018,2,0
34,107.55,1,10,15,4,3,1,2017,2,1
83,105.61,1,12,26,4,3,1,2018,2,1
121,96.9,1,7,6,3,4,0,2018,3,1
44,133.44,3,10,18,4,5,0,2018,2,1
0,85.03,0,9,11,4,0,1,2018,1,1
35,140.4,1,4,30,4,1,2,2018,1,1
30,88.0,0,11,26,4,1,2,2018,2,0
95,90.0,2,11,20,4,0,2,2018,1,0
47,94.5,2,10,20,4,2,0,2017,2,1
256,115.0,1,6,15,4,2,0,2018,2,0
0,96.0,0,10,5,3,0,1,2017,1,1
1,96.0,1,8,10,4,3,1,2017,2,1
99,65.0,0,10,30,4,2,2,2017,2,0
12,72.0,0,10,4,3,0,1,2017,2,1
99,65.0,0,10,30,4,2,2,2017,2,0
122,67.0,0,11,25,2,1,0,2018,1,1
2,85.0,0,3,20,3,4,2,2018,2,1
37,105.0,0,10,13,3,3,0,2018,2,1
130,94.5,1,5,22,4,1,2,2018,2,1
99,114.3,1,4,28,4,2,0,2018,2,1
60,65.0,0,9,21,3,1,1,2017,2,1
2,110.0,0,5,19,0,2,0,2018,1,0
37,37.33,0,11,6,4,2,1,2017,1,0
56,82.0,0,9,17,3,2,0,2017,2,1
3,177.5,1,9,19,4,1,1,2017,2,1
107,87.5,1,11,13,4,2,2,2018,2,1
56,82.44,1,12,7,4,3,0,2018,0,1
2,69.5,1,1,9,4,1,0,2018,2,1
72,85.5,0,10,7,3,2,0,2018,2,1
23,115.0,1,4,27,4,1,0,2018,2,1
34,81.0,0,6,19,4,1,2,2018,1,0
289,67.0,0,10,17,3,1,0,2017,2,1
247,63.75,0,11,19,4,3,2,2018,2,0
186,121.8,1,7,30,4,1,2,2018,2,0
64,93.6,2,11,1,4,4,0,2018,2,1
35,102.0,1,6,21,4,2,0,2018,2,1
96,121.8,1,4,10,4,1,2,2018,3,1
41,98.1,1,6,27,4,1,1,2018,2,0
55,60.0,1,11,18,3,4,0,2017,2,1
146,75.0,0,12,29,3,3,0,2017,2,1
32,73.0,0,11,20,3,2,0,2017,1,1
55,104.0,0,4,6,3,1,0,2018,2,1
57,79.2,1,11,1,4,4,0,2018,2,1
7,125.8,2,12,29,4,3,1,2018,1,1
124,87.95,0,5,30,4,5,2,2018,1,1
169,106.0,0,4,22,4,2,2,2018,2,0
6,136.67,1,5,16,4,2,1,2018,1,1
51,60.0,1,11,11,3,4,0,2017,2,1
13,89.0,2,6,13,4,0,1,2018,2,1
100,136.0,1,5,19,4,3,1,2018,2,1
139,94.5,1,7,28,4,1,0,2018,2,1
117,93.6,2,12,26,4,2,1,2018,2,1
39,120.6,0,4,20,4,4,1,2018,2,0
86,99.3,1,4,6,4,3,0,2018,2,1
2,258.0,1,9,2,4,1,0,2018,2,1
19,120.12,2,5,3,4,3,0,2018,1,1
192,95.0,0,6,24,3,2,0,2018,1,1
